Authors,Titles,Year,Page count,Link
Pajak I.; Krutz P.; Patalas-Maliszewska J.; Rehm M.; Pajak G.; Schlegel H.; Dix M.,Sports activity recognition with UWB and inertial sensors using deep learning approach,2022,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138806120&doi=10.1109%2fFUZZ-IEEE55066.2022.9882654&partnerID=40&md5=4fac7c769773979a3f0028ca853c4e8b
Roche J.; De-Silva V.; Hook J.; Moencks M.; Kondoz A.,A Multimodal Data Processing System for LiDAR-Based Human Activity Recognition,2022,13,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113198956&doi=10.1109%2fTCYB.2021.3085489&partnerID=40&md5=5f8f517d58d3b9c71b35b459a6e392c3
Mekruksavanich S.; Jitpattanakul A.,Recognition of Real-life Activities with Smartphone Sensors using Deep Learning Approaches,2021,3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114962782&doi=10.1109%2fICSESS52187.2021.9522231&partnerID=40&md5=d50c973b4c2c9ea2dacd489b6e17ced4
Bondugula R.K.; Sivangi K.B.; Udgata S.K.,A Deep Learning Architecture for Human Activity Recognition Using PPG and Inertial Sensor Dataset,2023,13,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140466744&doi=10.1007%2f978-981-19-1412-6_48&partnerID=40&md5=5d6f5ac383b85731fcc1b2bc4b005a04
Lin F.; Wang Z.; Zhao H.; Qiu S.; Shi X.; Wu L.; Gravina R.; Fortino G.,Adaptive Multi-Modal Fusion Framework for Activity Monitoring of People With Mobility Disability,2022,10,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128662457&doi=10.1109%2fJBHI.2022.3168004&partnerID=40&md5=ce448c30d046f50bf06fdc9022411c69
Mohd Noor M.H.; Tan S.Y.; Ab Wahab M.N.,Deep Temporal Conv-LSTM for Activity Recognition,2022,22,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127360552&doi=10.1007%2fs11063-022-10799-5&partnerID=40&md5=51918fbebc70f0fbb83ee169deb268a4
Basak P.; Tasin S.M.; Sakib A.H.M.N.; Uddin S.D.; Ahad M.A.R.,A Windowless Approach to Recognize Various Modes of Locomotion and Transportation,2021,5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115963291&doi=10.1145%2f3460418.3479385&partnerID=40&md5=94d1e36cb2b421cd19854463c4b1d567
Elshafei M.; Costa D.E.; Shihab E.,Toward The Personalization of Biceps Fatigue Detection Model For Gym Activity: An Approach to Utilize Wearables’ Data From The Crowd,2022,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124398770&doi=10.3390%2fs22041454&partnerID=40&md5=c62bb18dea33ce2c947ede65279744c2
Serpush F.; Menhaj M.B.; Masoumi B.; Karasfi B.,Wearable Sensor-Based Human Activity Recognition in the Smart Healthcare System,2022,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125812809&doi=10.1155%2f2022%2f1391906&partnerID=40&md5=0f1bcce03f62a6eeac3c994939623f5e
Yan M.; Zhao Y.; Guo M.; Sun H.; Qiu J.; Zhao F.,A Multimodal Dataset for Gait Recognition in Different Terrains using Wearable Sensors,2022,6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142628430&doi=10.1109%2fICIST55546.2022.9926866&partnerID=40&md5=774483014c19de9b1229632027eea6ca
